AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Manchaca Road at Austin,at,Williamson Creek,AAIT2,River Stage/Flow Location,US08158930,30.221111,-97.793333,EWX,WGRFC,TX,Texas-Gulf Region,No,618.39,0,13,14,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=aait2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,618.39,,,Travis,America/Chicago
Auke Bay,near,Antler River,AAKA2,River Stage/Flow Location,US15055500,58.851944,-134.708611,PAJK,APRFC,AK,Alaska Region,No,,32.5,33.5,34.5,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pajk&gage=aaka2,HGIRZ,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,80,,,,,Juneau City and Borough,America/Anchorage
Alameda tide gage,other,San Francisco Bay,AAMC1,River Stage/Flow Location,,37.771667,-122.298333,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=aamc1,HMIRG,Yes,-9999 Feet,No routine,No,No,Yes,NOAA/NOS,No,No,N/A,N/A,N/A,,,,,,,Alameda,America/Los_Angeles
Atlanta,at,Peachtree Creek,AANG1,Stage/Flow and Precipitation Location,US02336300,33.820306,-84.407639,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,13,17,18,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aang1,HGIRG,Yes,0 Feet,High Water,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,764.13,764.13 ft,,,,Fulton,America/New_York
GA Highway 203 near Blackshear,at,Alabaha River,ABAG1,River Stage/Flow Location,US02227270,31.375278,-82.288889,JAX,SERFC,GA,South Atlantic-Gulf Region,No,,7,9,12,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=abag1,HGIRG,Yes,1.2 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,82.6,82.6,,,,Pierce,America/New_York
Albany,below,Hubbard Creek,ABAT2,River Stage/Flow Location,US08086212,32.732778,-99.140278,SJT,WGRFC,TX,Texas-Gulf Region,No,1184.99 ft,32,35,38,43,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abat2,HGIRG,Yes,,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,USGS,1184.99,,1184.99 ft,,,,America/Chicago
Abbeville,at,Ocmulgee River,ABBG1,Stage/Flow and Precipitation Location,US02215260,31.996667,-83.279167,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,10,12,14,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=abbg1,HGIRG,Yes,0 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,161.4,161.40 ft,,,,Wilcox,America/New_York
18th Street Auburn,at,Cedar Creek (IN),ABBI3,River Stage/Flow Location,US04179520,41.360000,-85.0491,IWX,OHRFC,IN,Great Lakes Region,No,,6,9,10,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=abbi3,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,the USGS (04179520),Yes,No,N/A,N/A,N/A,NAVD88,843.5,843.50,,,,DeKalb,America/New_York
Lexington,near,Abbotts Creek,ABBN7,River Stage/Flow Location,US02121500,35.806944,-80.234722,RAH,SERFC,NC,South Atlantic-Gulf Region,No,,14,16,23,31,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=abbn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,618.26,618.26 ft,,,,Davidson,America/New_York
Aberdeen,near,Buttahatchie River,ABDM6,River Stage/Flow Location,US02439400,33.790000,-88.315278,MEG,SERFC,MS,South Atlantic-Gulf Region,No,221 ft,12,13,22,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=abdm6,HGIRG,Yes,,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 1929,221,,221 ft,,,,America/Chicago
